类型,小类,编号,需求,需求描述（含规格）,验收标准,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,5.1.8,支持结构的即时仿真静力分析求解能力,即时仿真求解器具备结构静力求解能力，满足常见结构仿真场景需求。,"验证模型：
以用户指定的3-5个真实模型作为该功能的验证模型。

验证指标：
1、即时仿真求解器支持线性静力分析，支持基于八叉树自适应网格的界面域刚度矩阵计算，支持在计算过程中，根据计算结果误差估计，动态网格加密算法；
2、即时仿真线性静力分析精度达到ANSYS Mechanical 2023R1版本的80%。

验证过程：
1、导入真实模型，完成模型处理、静力分析类型设置，以及其他即时仿真前处理设置；
2、点击求解，视图窗口中实时更新静力分析仿真结果，在计算过程中，验证求解是否自动调用/八叉树自适应网格算法进行界面刚度矩阵的计算，通过调试及日志输出查看相关信息，验证求解器是否根据计算结果误差估计自动触发动态网格加密机制，并输出相关的网格加密日志信息。通过分析求解器输出文件中的日志、误差评估值及加密区域标识等信息，可判断系统是否启用了自适应网格与动态加密算法，验证即时仿真结构静力求解能力；
3、保持同一模型相同设置，进行传统有限元分析，对标ANSYS Mechanical 2023R1版本，位移和应力结果精度不低于80%。",,,,,,,,,,,
,,5.1.11,支持常见的约束形式求解,即时仿真求解器支持固定支撑、位移约束、远程位移约束、对称/反对称等结构分析场景中常见约束形式，涵盖静力学分析主要场景。,"验证模型：
以用户指定的3-5个真实模型作为该功能的验证模型。

验证指标：
1、支持面向几何面、顶点集、边集及组合的固定支撑、位移约束、远程位移约束、对称/反对称约束形式的添加；支持基于局部坐标系的以上约束形式的施加；
2、根据求解日志，查看位移目标值与数值积分解误差不超过5%，求解日志中输出约束报错信息或自动处理结果；
3、即时仿真线性静力分析精度达到ANSYS Mechanical 2023R1版本的80%。

验证过程：
1、导入真实模型，完成模型处理，依照场景需求设置固定支撑、位移约束、远程位移约束、对称/反对称、温度等约束边界，并完成其他即时仿真前处理设置；
2、点击求解，根据求解日志，查看位移目标值与数值积分解误差不超过5%，求解日志中输出约束报错信息或自动处理结果，视图窗口中实时更新仿真结果，验证即时仿真常见的约束形式求解功能；
3、保持同一模型相同设置，进行传统有限元分析，对标ANSYS Mechanical 2023R1版本，相同时间步的位移和应力结果精度不低于80%。",,,,,,,,,,,
,,5.1.12,支持多种典型载荷类型求解,即时仿真求解器支持合模力（远程力）、保压压力、模压载荷、顶出力、侧向推力、扭矩、斜顶推力、恒定温度等结构中常见载荷，涵盖静力学分析主要场景。,"验证模型：
以用户指定的3-5个真实模型作为该功能的验证模型。

验证指标：
1、支持面向几何面、顶点集、边集及组合的集中力、远程力、力矩、远程力矩、温度载荷施加；支持基于局部坐标系的以上载荷形式的施加；
2、根据求解日志，查看载荷目标值与数值积分解误差不超过5%，支持各类的仿真场景中输出模板载荷的误差统计，求解日志中输出载荷报错信息或自动处理结果；
3、即时仿真线性静力分析精度达到ANSYS Mechanical 2023R1版本的80%。

验证过程：
1、导入真实模型，完成模型处理，依照场景需求设置集中力或者远程力载荷（包含合模力、顶出力、侧向推力、斜顶推力）、压力载荷（保压压力）、扭矩载荷，并完成其他即时仿真前处理设置；
2、点击求解，根据求解日志，查看载荷目标值与数值积分解误差不超过5%，支持各类的仿真场景中输出模板载荷的误差统计，求解日志中输出载荷报错信息或自动处理结果，视图窗口中实时更新静力分析仿真结果，验证即时仿真多种典型载荷类型求解功能；
3、保持同一模型相同设置，进行传统有限元分析，对标ANSYS Mechanical 2023R1版本，相同时间步的位移和应力结果精度不低于80%。",,,,,,,,,,,
,,5.1.18,在无网格情况下，即时仿真模块支持模流分析压力及温度结果映射求解,"1、即时仿真模块支持在无网格的情况下，进行模流分析压力及温度结果的导入映射插值，映射到模肉表面，并支持压力分布的可视化显示。
2、即时仿真求解器支持对映射后的压力载荷进行求解。","验证模型：
以用户指定的3-5个真实模型作为该功能的验证模型。

验证指标：
1、即时仿真模块支持模流分析压力结果、温度结果的导入；
2、支持直接在几何上进行映射插值及可视化显示，完全基于几何的映射结果显示，支持随时间变化的模流结果的映射及可视化；
2、即时仿真求解器支持读取导入的映射文件，压力载荷和温度载荷进行求解，支持非映射区域默认值设置，支持映射方法及容差设置，支持随时间变化的模流分析结果映射等。

验证过程：
1、导入真实模型，完成模型处理和即时仿真前处理设置，一键导入模流分析压力及温度结果，并自动完成映射插值，通过载荷可视化功能，以云图的形式查看导入每个时间点的压力与温度载荷的分布情况，验证在无网格情况下，即时仿真模块模流分析压力及温度结果映射功能；
2、完成模流分析压力及温度结果映射后，点击求解，视图窗口实时更新每个时间步的即时仿真结果，验证即时仿真求解器支持对映射后的压力载荷进行求解功能。",,,,,,,,,,,
,,5.1.19,支持结构的即时仿真稳态热分析求解能力,即时仿真求解器具备稳态热分析能力，满足常见热仿真场景需求。,"验证模型：
以用户指定的3-5个真实模型作为该功能的验证模型。

验证指标：
1、即时仿真求解器具备稳态热分析能力，支持热传导、对流换热等边界条件设置，支持热绑定,支持对流等边界的胞元获取和自适应网格配合实现高精度边界的算法；
2、在相同边界条件下，即时仿真线性稳态热分析精度达到ANSYS Mechanical 2023R1版本的80%。

验证过程：
1、导入真实模型，完成模型处理、稳态热分析类型设置，依照依照场景需求设置热传导、对流换热等边界条件，支持热绑定，并完成其他即时仿真前处理设置；
2、点击求解，验证求解过程中求解信息日志中是否支持对流等边界的胞元获取和自适应网格的配合，并根据输出日志中输出的边界精度，判断是否实现高精度边界算法，视图窗口中实时更新稳态热分析仿真结果，验证即时仿真稳态热分析求解能力；
3、保持同一模型相同设置，进行传统有限元分析，对标ANSYS Mechanical 2023R1版本，温度结果精度不低于80%。",,,,,,,,,,,
,,5.1.25,"后处理需求：
即时仿真求解结果对接","1、求解信息（求解进度、剩余时间、迭代步信息）可视化显示；
2、结果文件IO接口定义与开发；
3、支持计算过程中的计算结果实时传递与存储；
4、支持多方案计算结果管理。","验证模型：
以用户指定的3-5个真实模型作为该功能的验证模型。

验证指标：
1、支持求解信息（求解进度、剩余时间、迭代步信息）的可视化显示；
2、支持计算过程中的计算结果导入；
3、支持计算过程中的计算结果实时传递与存储；
4、支持精细化仿真与即时仿真结果的同时查看；
5、支持根据内存大小后台自动实现结果的预加载；

验证过程：
1、采用真实模型完成可视化显示查看；
2、采用真实模型完成计算结果导入；
3、采用真实模型完成计算结果的实时导入后处理并根据内存控制共存的结果步数；
4、采用真实模型完成多方案计算结果的导入与结果对比。",,,,,,,,,,,
,,5.1.26,3D结果及2D结果可视化,"1、支持位移、应力、应变、反作用力等仿真结果以云图、矢量图或动画形式即时呈现；
2、支持位移、应力、应变、反作用力等仿真结果以表格或曲线图形式即时呈现；
3、支持探针功能，输出关键位置包含体、面、线、点的后处理结果，包含最大值、最小值和平均值等信息，用于关键位置的后处理结果查看；
4、支持去以表格或曲线图形式即时呈现探针获取结果；
5、后处理各类云图、矢量图或动画，支持交互式缩放、旋转操作。","验证模型：
以用户指定的3-5个真实模型作为该功能的验证模型。

验证指标：
1、支持通过多视口、多文档形式，查看基于几何的位移、应力、应变、反作用力等结果的云图、矢量图、动画或剖面图；
2、支持通过多视口、多文档形式，查看基于几何的位移、应力、应变、反作用力等结果数据的表格或曲线图；
3、支持通过多视口、多文档形式，基于几何使用探针功能，输出指定位置的结果，以表格或曲线图形式呈现；
4、支持通过多视口、多文档形式，对模型区进行交互，实现模型缩放、旋转；
5、支持结果二次计算，支持坐标变换、最值提取。

验证过程：
1、采用真实模型完成即时仿真分析及自动化仿真后，查看基于几何的位移、应力、应变、反作用力等结果的云图、矢量图、动画、剖面图，以及结果数据的表格或曲线图；
2、采用真实模型完成即时仿真分析及自动化仿真后，采用探针功能查看指定位置的结果，以表格或曲线图形式呈现；
3、在后处理模块进结果的二次计算，包括坐标变化及最值提取，判断计算结果正确性。",,,,,,,,,,,
,,5.1.27,标准化报告生成,自动生成包含关键参数（如最大应力、变形量）及对应云图的标准化分析报告，支持PDF、Excel格式导出。,"验证模型：
以用户指定的3-5个真实模型作为该功能的验证模型。

验证指标：
1、通过与设计人员迭代模板，形成18个场景仿真后可以直接使用的报告模板，支持即时仿真可视化图片替换与填充，包括云图、曲线图、柱状图等；
2、支持标准化报告生成，包含关键参数（如最大应力、变形量）对应云图，支持PDF、Excel格式导出,结合行业需求和后续定制的场景分析流程标准，定制场景专用报告生成。

验证过程：
选取3-5个真实模型导入系统后，匹配预设的18个仿真场景模板并执行分析计算；在仿真过程中，分析完成后，生成包含云图、曲线图等可视化结果，自动提取最大应力、变形量等关键参数，按照各个场景真实报告要求，自动生成生成包含数据图表和文字说明的完整报告，并支持一键导出为PDF或Excel格式，同时验证报告内容的准确性和格式规范性。",,,,,,,,,,,
,自动化仿真功能需求,5.2.1,总体自动化需求,"统一自动化入口界面
提供图形化任务驱动界面，用户可通过结构识别与工况选择，进入自动化仿真流程。保留手动调整模型或参数及确认功能。","验证模型
以用户指定的3-5个真实模型作为该功能的验证模型；
验证指标：
1、仿真模板主界面支持分步执行，支持步骤状态显示（已完成、当前进行中、未开始），支持从第一步开始全部执行，支持从指定步向后全部执行；支持根据所选场景自动选择仿真模板并执行的功能；
2、支持结构AB板刚强度分析、结构撑头排布优化分析、注塑镶件强度及疲劳分析、双色转后模马达扭矩计算、开合模导向机构变形分析、斜顶杆弯曲分析、脱模力计算、胶料注塑顶出分析自动化仿真场景的调用执行及进度监控等。

验证过程：
用户导入3-5个真实模型后，通过统一自动化入口界面启动仿真流程；在分步执行过程中，系统实时显示各步骤状态（已完成、进行中、未开始），支持从第一步或指定步骤开始执行，并自动调用结构刚强度分析、撑头排布优化、镶件疲劳分析等八大仿真场景；仿真过程中监控计算进度，最终输出包含应力、变形等关键数据的分析报告。",,,,,,,,,,,
,,5.2.2,需支持BOM表规则读取模块,支持依据不同客户的要求，配置并生成符合特定格式与字段规范的BOM表规则，实现灵活、自动化的BOM清单解析，满足行业不同厂家不同BOM格式的适配。自定义BOM字段映射功能，支持将软件内部字段（如材料、零件号、单重、工艺编号）与客户指定字段进行映射。,"验证模型：
以用户指定的3-5个真实模型作为该功能的验证模型。

验证指标：
1、支持BOM表导入，支持将软件需识别字段（如材料、零件号、数量、单重、总重、工艺编号等）与客户指定的BOM表字段名称进行自定义映射，映射表可保存并重复使用；
2、支持对导入的BOM表数据进行交互查看与管理；
3、支持几何导入时的BOM表信息确认；
4、支持基于BOM表和模型类型的材料创建、零件属性指定；

验证过程：
创建标准部门基于EXCEL的BOM模板，将软件内部字段“Material”映射为“材料”、“PartID”映射为“零件编号”，按客户顺序排列字段；
切换至精密部门的模板，重新设置字段映射规则，确认系统支持模板切换且不干扰已有模型字段配置；将系统识别后信息与客户参考BOM进行逐一比对，检查字段是否齐全、内容是否准确、格式是否一致等。",,,,,,,,,,,
,,5.2.3,需支持调用AI几何检索工具自动识别零件信息,"1、支持调用AI工具的接口功能，并可读取AI工具生成的BOM表信息；
2、支持指定格式的BOM表导入，导入后自动配置零件名称及属性等信息。","验证模型：
以用户指定的3-5个真实模型作为该功能的验证模型。

验证指标：
1、支持AI工具集成调用，自动生成BOM表；支持通过API或接口调用AI几何检索工具
AI工具能识别零件的几何特征并生成结构化的BOM表，BOM表包含零件名称、材料、数量、关键尺寸等必要属性
2、软件具备BOM表信息自动导入，导入后可自动更新配置零件名称及属性信息等；支持导入符合指定格式（Excel）的BOM表文件，能自动将导入的BOM表数据与模型中的零件进行匹配，自动更新零件属性（名称、材料、规格等）且支持人工修正。

验证过程：
选取3-5个典型模型，测试AI工具是否能正常调用，并自动生成BOM表；随后通过导入外部BOM表信息，验证是否能准确更新模型中配置零件的名称、材料属性等数据，确保功能稳定可靠。如AI工具识别的BOM表零件信息有误，通过交互确认界面修正。",,,,,,,,,,,
,,5.2.4,支持模型初始信息交互确认,"1、导入模型并通过BOM表解析获取的模型信息自动识别后，提供用户确认模型初始信息、零件名称、零件材料信息交互操作，用户可手动修改零件名称及属性；
2、需具备CAD软件保存的图层文件解析能力，并在即时仿真软件中实现基于图层数据的模型接触关系判断与查看；
3、支持缺省设置，对无法识别或表格无法匹配零部件，开放用户自定义设置材料及装配关系。","验证模型：
以用户指定的3-5个真实模型作为该功能的验证模型。

验证指标：
1、软件能准确识别导入模型中的各零部件信息，包括类型、名称和材料属性；
2、能导入指定格式的BOM表，并实现对模型中零件名称、材料等属性的自动更新；
3、支持导入模型的图层信息读取，并软件支持图层管理功能，继承的图层信息能够继承到软件中，用于方便快速进行模型显隐，辅助进行模型信息确认；
4、用户可在交互界面手动修改识别结果，包括零件信息及材料属性；
5、对无法自动识别或匹配的部件，支持用户自定义设置名称、材料及装配关系，界面响应流畅、操作便捷。

验证过程：
1、导入模型后，并通过BOM表解析识别部件信息接口，接受识别信息，在用户交互界面验证识别的模型初始信息，是否包括各零部件的类型、名称、材料信息，验证用户是否可以手动修改上述信息；
2、导入模型后，验证是否可以用过导入指定格式的BOM表，软件自动配置零件名称及属性等信息；验证图层信息是否识别正确，通过图层管理验证是否能够正常进行图层中零部件的显示隐藏等；
3、用户交互界面出现部分无法识别的零件，或者表格无法匹配零部件，验证是否支持用户自定义设置材料及装配关系。",,,,,,,,,,,
,,5.2.5,支持类型识别,基于BOM表以及图层文件，能够在拆图前针对实体装配模型，自动识别类型，如两板模、三板模、双色模等，实现模型数据的组织和构建，并为后续仿真适配对应流程。,"验证模型：
以用户指定的3-5个真实模型作为该功能的验证模型。

验证指标：
基于BOM表的模型信息自动识别能力，能够在拆图前针对实体装配模型，识别类型，如两板模、三板模、双色模等，识别正确率90%以上。

验证过程：
导入模型后，通过调用BOM表识别部件信息接口，接受类型识别信息，自动区分两板模、三板模、双色模等类型，自动对应后续场景分析类型，判断识别的种类是否正确。",,,,,,,,,,,
,,5.2.6,支持零件名称识别,基于调用BOM表以及图层文件，能够识别零件名称，包括模胚、上码模板、“A”板、“B”板、凳仔方、顶针板等，并可自动识别关键位置几何信息包含分型面、底板面，用于后续自动边界及载荷加载。,"验证模型：
以用户指定的3-5个真实模型作为该功能的验证模型。

验证指标：
基于BOM表的模型信息自动识别能力，能够识别零件名称，包括模胚、上码模板、“A”板、“B”板、凳仔方、顶针板等，并自动创建仿真对象。识别正确率90%以上。

验证过程：
导入模型后，通过识别部件信息接口，接受零件名称识别信息，判断是否能够自动创建出仿真分析对象，并对应设置零件名称。",,,,,,,,,,,
,,5.2.7,接触及绑定相互作用关系自动构建,基于BOM表信息以及特层信息进行接触关系自动识别与接触或绑定对创建,"验证模型：
以用户指定的3-5个真实模型作为该功能的验证模型。
验证指标：
软件可依据BOM关系及零件特征，自动识别接触面并构建“接触”或“绑定”关系；
支持基于几何距离及特征匹配实现零件对接触自动搜寻，准确率不低于90%；
自动建立的接触对信息可视化显示，并允许用户确认与修改。

验证过程：
导入验证模型及其BOM结构，进入接触关系模块；系统自动分析并生成接触/绑定关系；对识别结果进行人工检查与比对，确保关系合理、数量完整；在新架构界面中测试自动搜寻算法迁移稳定性及响应效率，验证完成率与准确性。",,,,,,,,,,,
